Year,Collection,Collection Type,Location,Gender,Colour,Patterns,Shoes,Accessories,Fabric,Theme
1988,FALL,READY-TO-WEAR,NEW YORK,Women,"black, grey, red, beige","crunched waist, vertical stripess","pumps, high knee boots, pointed heels",stalkings,"fur, satin","tomboy, powerful"
1988,FALL,COUTURE,NEW YORK,Women,"red, pink, grey, black, beige","abstract, floral",pointed heels,"big hats, sunglasses, chunky jewlery","fur, satin","antique, medival"
1988,SPRING,COUTURE,PARIS,WOMEN,"yellow, orange, blue, white","floral, polka dots",stilettos,"big headwear, big hats","brushed cotton, cotton crosswear",ostentatious
1989,FALL,READY-TO-WEAR,NEW YORK,Women,"black, yellow, white",plain,pointed boots,gloves,"woollen, velvet","modest, workforce"
1990,FALL,READY-TO-WEAR,NEW YORK,Women,"black, grey, lavender, blue","vertical stripess, checks, abstract",ballet flats,blazer,"leather, nets, linen","sexy, boardroom"
1990,SPRING,READY-TO-WEAR,PARIS,Women,"green, white","abstract, vertical stripess","ballet flats, loafers","shrugs, jackets, beads, big belts","mesh, satin","feminine, splashy"
1991,FALL,READY-TO-WEAR,NEW YORK,Women,"blue, pink, white, beige, black, neons","vertical stripess, animal print, checks, vertical button line, butterfly","pumps, boots","chunky gold jewelry, buttons, gloves, jackets","sheer, mesh, fleece","hip-hop, sexy"
1991,SPRING,READY-TO-WEAR,PARIS,Women,"neons, yellow, pink, orange, black, white","polka dots, stripess, checks","stilettos, flats",headgear,"khaki, cotton, flowy, sheer, mesh",pop
1992,SPRING,READY-TO-WEAR,PARIS,Women,"black, blue, red",straps,boots,gloves,"leather, velvet, sheer","sophisticated, strong"
1992,FALL,READY-TO-WEAR,NEW YORK,Women,"red, yellow, white, black","strapless, animal print, vertical stripess","pumps, stilettos, flats","headgear, chunky gold jewelry","nylon, rayon, carbon","low-cut, provocative"
1993,SPRING,COUTURE,PARIS,Women,"black, white","cross, ruffles","pointed pumps, pointed boots",pearls,"mesh, flannel","haute couture, silhouette"
1993,FALL,READY-TO-WEAR,NEW YORK,Women,"black, white, brown, pastel","stripess, stripess, pleated, fishnets","loafers, boots, ballets"," headgear, beret, gold jewellery, huge hats","fleece, mesh, woollen","grunge, flashy"
1993,SPRING,READY-TO-WEAR,PARIS,Women,"red, yellow, white, black, pastel","stripess, leaves, checks, abstract","sports shoes, ballets","big chokers, beads, corsets, tassels","mesh, flannel","thrift, sportswear, cool, feminine"
1994,SPRING,COUTURE,PARIS,Women,"black, white, brown, yellow","vertical stripess, checks",pumps,hats,"silk, canvas",medival
1994,SPRING,READY-TO-WEAR,PARIS,Women,"black, white, red, brown","vertical stripess, abstract, ruffles","barefoot, shoes, chunky heels",none,"denim,cotton, flowy, mesh","pop, summer"
1994,FALL,READY-TO-WEAR,NEW YORK,Women,", black, white, red, yellow","loosely fit, checks","square toe boots, loafers","fur, gold, bows, buttons",fur,chique
1995,FALL,COUTURE,NEW YORK,Women,"black, white",plain,pumps,"headgear, chunky gold jewlery","chenille, woollen","unique, classy, fierce, bold"
1995,FALL,READY-TO-WEAR,NEW YORK,Women,"black, white, grey","plain, checks",pumps,hats,"georget, linens, velvet","simple, funk"
1995,SPRING,READY-TO-WEAR,PARIS,Women,"pink, white, black","vertical stripess, checks, polka dots",stilettos,"bags, brooch, belts, diamonds, gold","synthetic, satin, rayon","classy, chique"
1996,FALL,COUTURE,NEW YORK,Women,"black, blue, maroon, red",plain,pointed heels,"headgear, gold, button","tweed, woollen",mob wife
1996,FALL,READY-TO-WEAR,NEW YORK,Women,"black, brown, lavender, maroon, purple, red",plain,"square toe heels, loafers",none,"tweed, velvet","mob wife, professional"
1996,SPRING,READY-TO-WEAR,PARIS,Women,"pastel, brown, white, black, yellow","checks, vertical stripess, plain",ballets,"sunglasses, headgear","sheer, polyester","simple, professional"
1996,SPRING,COUTURE,PARIS,Women,"white, black,orange","animal print, plain",stilettos,headgear,"organza, silk",cabaret
1997,FALL,READY-TO-WEAR,NEW YORK,Women,black,plain,pointed boots,"gloves, headbands","woollen, leather",classic
1997,SPRING,READY-TO-WEAR,PARIS,Women,"black, brown, blue, maroon, red, yellow","animal print, floral, fishnets","stilettos, flats",small handbags,"mesh, velvet, silk, linen","bossy, mob wife"
1997,FALL,COUTURE,NEW YORK,Women,"black, grey, pink",embroidery,"pointed heels, pointed boots",none,"woollen, polyster","professional, work"
1997,SPRING,COUTURE,PARIS,Women,"black, white, pink, gold","embroidery, vertical stripess",pointed stilettos,headgear,"mesh, viscose, rayon",mobwife
1998,SPRING,MENSWEAR,PARIS,MEN,"black, white, beige","plain, fishnet",square toe oxfords,none,"mesh, linen, polyester","classic, minimalistic"
1998,FALL,READY-TO-WEAR,NEW YORK,Women,"black, white, grey",plain,"pointed loafers, pointed boots",none,"silk, polyester, tuxedo","silhouette, feminine"
1998,SPRING,COUTURE,PARIS,Women,"black, white, grey",plain,"pointed stilettos, pointed pumps",none,"ployster, silk, flowy",feminine
1998,SPRING,READY-TO-WEAR,PARIS,Women,"pastel, black, white",plain,"stilettos, pointed flats",none,"cottin, polyester",feminine
1999,FALL,MENSWEAR,NEW YORK,MEN,"black, grey",plain,"square oxfords, boots",none,"silk, tuxedo", academia
1999,FALL,READY-TO-WEAR,NEW YORK,Women,"black, brown, lavender, white, yellow, grey",plain,"pointed loafers, boots","shrugs, jackets","linen, polyester, silk","powerful, classic"
1999,SPRING,MENSWEAR,PARIS,MEN,"black, white",plain,"slip ons, shoes","vests, jackets","cotton, polyester, silk",youth
1999,FALL,COUTURE,NEW YORK,Women,"black, white, brown, beige",plain,"pointed stilettos, pointed pumps",feather,"leather, woollen, tweed, ployster",powerful
1999,SPRING,COUTURE,PARIS,Women,"black, white, grey, pastel",plain,"pointed stilettos, pointed pumps, pointed flats",headgear,"sheer, polyster, organza",feminine
1999,SPRING,READY-TO-WEAR,PARIS,Women,"black, yellow, white, orange, brown, red, blue",plain,loafers,none,"silk, sheer, flowy",clean girl
2000,FALL,COUTURE,NEW YORK,Women,black,"fishnets, tasssels",pointed pumps,"headgear, beads, glitter","mesh, polyster","flashy, rich"
2000,FALL,READY-TO-WEAR,NEW YORK,Women,"black, brown, grey, rusty","plain, herringbone","pointed pumps, round flats, boots","gold, scarf","woollen, polyester, fleece",mob wife
2000,SPRING,COUTURE,PARIS,Women,"black, white",plain,pointed pumps,glitter,"mesh, fur, ployster","flashy, rich"
2000,SPRING,READY-TO-WEAR,PARIS,Women,"black, white, grey, pastel, brown, beige","plain, leaves","stilettos, flats",glitter,"chiffon, polyester, cotton","basic, y2k"
2000,SPRING,MENSWEAR,PARIS,MEN,"pastel, black, maroon",plain,"canvas, leather shoes, loafers",jackets,"linen, polyester","subtle, basic"
2001,FALL,MENSWEAR,NEW YORK,MEN,"black, brown","vertical stripess, plain",boots,"gator, hood","leather, woollen","grunge, emo"
2001,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, brown, white","floral, fishnets","stilettos, flats","chokers, glitter","leather, mesh, polyester","y2k, basic"
2001,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, orange, yellow, blue, brown, white, lavender","lace, checks, vertical stripess","round pumps, loafers, high knee boots",belts,"silk, chiffon","rich, y2k"
2001,FALL,COUTURE,NEW YORK,WOMEN,"brown, rusty, black, white, orange, white, purple, pink. red",checks,"pumps, stilettos, boots","high necks, fur, headgear","mesh, silk, woollen",rich
2001,SPRING,COUTURE,PARIS,WOMEN,"rusty, red, orange","lace, plain, embroidery",pointed pumps,"hat, gloves, flowers","chiffon, cotton, ployster, silk","classic, rich"
2002,SPRING,COUTURE,PARIS,WOMEN,"black, white, beige, pastels","ruffles, abstract",pointed pumps,"glitter, headgear","chiffon, mesh, polyster, organza","y2k, funky, classic"
2002,SPRING,MENSWEAR,PARIS,MEN,"black, white, blue, yellow",plain,oxfords,"hood, gator","woollenen, polyester","youth, emo"
2002,FALL,COUTURE,NEW YORK,WOMEN,"black, white, maroon, yellow, brown, purple",abstract,boots,"fur, headgear","woollenen, polyster","mobwife, rich"
2002,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, rusty, brown, maroon, beige","hemppants, plain, lace","pointed boots, pointed pumps","leggins, spiked belts, spiked bags","chiffon, silk, polyester",rich
2002,FALL,MENSWEAR,NEW YORK,MEN,"brown, grey, black",puffer,"boots, oxfords","hood, gator","leather, woollen",emo
2002,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, orange, blue, pastel, pink","ruffles, abstract",pointed pumps,"belts, gold","chiffon, polyester, flowy, cotton","y2k, classic, work"
2003,FALL,COUTURE,NEW YORK,WOMEN,"black, , white","embroidery, plain",pointed pumps,"fur, headgear","ribbed, polyster, satin, organza","classic, glam, mobwife"
2003,SPRING,MENSWEAR,PARIS,MEN,"black, white",plain,none,"jacket, bandana","cotton, polyester",grunge
2003,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"brown, green, grey, orange, blue","plain, abstract",pointed boots,jacket,"leather, fleece, satin",glam
2003,SPRING,READY-TO-WEAR,PARIS,WOMEN,", grey, pastel","stripess, pleated, ruffles","stilettos, pointed pumps",bags,"organza, polyester, flowy","glam, pop"
2003,FALL,MENSWEAR,NEW YORK,MEN,"green, red, yellow, black, blue",plain,"boots, oxfords",hats,polyester,"youth, classic"
2003,SPRING,COUTURE,PARIS,WOMEN,"red, pink, blue, yellow, orange, black, white","ruffles, floral",stilettos,headgear,"organza, ployster, flowy","glam, pop"
2004,FALL,COUTURE,NEW YORK,WOMEN,"black, , white",ruffles,pointed boots,"headgear, gloves",organza,glam
2004,SPRING,COUTURE,PARIS,WOMEN,"black, pastels, yellow, white",ruffles,"stilettos, pointed pumps",none,"satin, polyster",glam
2004,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"pink, red, yellow, blue, rusty, brown, orange, black","abstract, checks",stilettos,none,"ploster, woollen, satin","glam, rich"
2004,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, brown, ","abstract, plain",stilettos,none,"satin, silk, flowy, polyester","glam, pop"
2005,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, white, beige, purple","plain, checks","boots, oxfords",scarf,"tweed, polyester, silk","classic,  academia"
2005,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown , grey","plain, stripess","boots, pumps",coats,"woollen, chiffon , polyester",classic
2005,SPRING,COUTURE,PARIS,WOMEN,"orange, white, black, lavender, green","plain, embroidery",pointed pumps,headgear,"tweed, polyster, satin, chiffon, organza","classic, pop"
2005,SPRING,MENSWEAR,PARIS,MEN,"white, beige, black, yellow, green","vertical stripess, plain",loafers,"bags, hats","linen, polyester","classic,  academia"
2005,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, pastel","plain, abstract","ballets, stilettos",bags,"flowy, polyester, cotton, chiffon",pop
2005,FALL,COUTURE,NEW YORK,WOMEN,"white, green , maroon, black, grey","ruffles, floral","boots, pumps",headgear,"mesh, organza, polyster",medival
2006,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, beige, blue, green",checks,high knee boots,"hats, fur, belts","polyester, woollen, silk","glam, rich"
2006,FALL,MENSWEAR,NEW YORK,MEN,"black, blue, brown","plain, vertical stripess, checks",loafers,fur,"woollen, tuxedo, polyester","glam, rich"
2006,FALL,COUTURE,NEW YORK,WOMEN,"black, white, grey, blue, red, green","ruffles, houndstooth","high knee boots, pumps",none,"velvet, chiffon, silk, polyster",", glam"
2006,SPRING,MENSWEAR,PARIS,MEN,"white, beige, blue","vertical stripess, plain",loafers,blazers,"polyester, silk, cotton","rich, youth"
2006,SPRING,COUTURE,PARIS,WOMEN,"white, black, grey, pink","polka dots, ruffles",pumps,gold,"chiffon, organza, silk, polyster","rich, classic"
2006,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, blue, pink, beige","ruffles, floral",stilettos,chunky jewelry,"chiffon, silk, polyester","chique, rich"
2007,RESORT,RESORT,RESORT,WOMEN,"black, blue, white",floral,stilettos,"hats, beads","polyester, silk",basic
2007,SPRING,MENSWEAR,PARIS,MEN,"black, grey, beige","vertical stripess, checks, plain","loafers, oxfords",belts,"polyester, cotton, linen","pop, rich"
2007,FALL,MENSWEAR,NEW YORK,MEN,"black, grey, beige, brown",plain,boots,hats,"tweed, polyester, woollen","medieval, ruch"
2007,FALL,COUTURE,NEW YORK,WOMEN,"black, white",ruffles,high knee boots,headgear,"tweed, woollen, silk, organza, mesh",mob wife
2007,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"green, red, black, grey, blue, orange","houndstooth, plain",boots,"headgear, gloves, bags","leather, tweed, woollen","mob wife, rich"
2007,SPRING,COUTURE,PARIS,WOMEN,"pink, white, black","fishnet, lace, embroidery",pumps,"headgear, cluthches","leather, silk, mesh, polyster","glam, rich"
2007,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, red, orange",ruffles,stilettos,"headgear, bags","polyester, flowy, organza",pop rich
2008,SPRING,MENSWEAR,PARIS,MEN,"black, white, blue, orange",plain,"loafers, canvas","bags, sunglasses","silk, polyester","activewear, youth"
2008,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, blue, red, pink","ruffles, floral, tassels",pumps,"hats,","silk, mesh, polyester, cotton","glam, pop"
2008,SPRING,COUTURE,PARIS,WOMEN,"black, white, green, blue","ruffles, floral, vertical stripess",pumps,"headgear, gold","mesh, silk, polyster","pop, glam"
2008,RESORT,RESORT,RESORT,WOMEN,"black, white, orange, blue","floral, plain","flats, stilettos","bags, hats","woollen, cotton, silk, polyester","basic, pop"
2008,FALL,COUTURE,NEW YORK,WOMEN,"brown, rusty, white, grey","ruffles, embroidery","pumps, boots",headgear,"mesh, organza, sil, velvet, woollen, polyster","rich, glam"
2008,FALL,MENSWEAR,NEW YORK,MEN,grey,"puffer, checks",pointed oxfords,vests,"tweed, woollen, polyester",classic
2008,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"grey, white, black, blue","ruffles, lace",pointed pumps,chunky jewelry,"silk, polyester, organza, chiffon","pop, basic"
2009,FALL,MENSWEAR,NEW YORK,MEN,"black, grey",plain,boots,none,"tweed, polyester, woollen","grunge,  academia"
2009,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, grey, beige","plain, houndstooth",boots,gold,"silk, tweed, woollen","rich, chique"
2009,FALL,COUTURE,NEW YORK,WOMEN,"black, white, pink, yellow","lace, embroidery, ruffles, floral",pumps,"headgear, silver","mesh, silk,polyster, leather","rich, chique"
2009,SPRING,MENSWEAR,PARIS,MEN,"grey, white",plain,loafers,none,"silk, polyester","basic, minimalistic"
2009,RESORT,RESORT,RESORT,WOMEN,"grey, white, orange, yellow","abstract, lace",stilettos,chunky jewelry,"silk, organza, polyester","pop, minimalistic"
2009,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, brown, beige","checks, plain",stilettos,"bags, straps","polyester, cotton, denim","basic, grunge"
2009,SPRING,COUTURE,PARIS,WOMEN,"white, yellow, black, red","ruffles, plain","pumps, stilettos",chunky jewlery,"silk, polyster, satin, organza","glam, rich"
2010,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, brown, green, white","vertical stripess, checks, plain","wedges, flats",chunky jewelry,"polyester, silk","funk, pop"
2010,RESORT,RESORT,RESORT,WOMEN,"black, white, blue, yellow","stripess, abstract","stilettos, pumps","bags, gold","silk, polyester, mesh","y2k, pop"
2010,SPRING,COUTURE,PARIS,WOMEN,"blue, pink, white, black, yellow","tassels, ruffles","pointed pumps, pointed boots","headgear, chunky daimond jewlery","mesh, polyster, denim","flashy, funk"
2010,FALL,MENSWEAR,NEW YORK,MEN,"grey, blue",houndstooth,boots,belts,"tweed, woollen","classic, rich"
2010,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"maroon, green, grey, black","embroidery, checks",pointed boots,"scarf best, jacket","fur, woollen, polyester, tweed","flashy, glam"
2010,FALL,COUTURE,NEW YORK,WOMEN,"red, black, white, red, purple","embroidery, lace",stilettos,chuncky jewllery,"organza, mesh, polyster","pop, rich"
2010,SPRING,MENSWEAR,PARIS,MEN,"yellow, brown, black, white","plain, abstract, stripess","loafers, stilettos","bags, belts","cotton, polyester","basic, soft"
2011,FALL,COUTURE,NEW YORK,WOMEN,"black, white, brown ","ruffles, lace , stripess, houndstooth","boots, pumps","headgear, gloves","organza, mesh, silk, satin","classy, chique"
2011,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown, red","checks, plain, abstract",boots,"bags, fur","leather, polyester",pop
2011,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, red","checks, abstract","boots, sneaker",none,"leather, polyester","funk, classic"
2011,SPRING,COUTURE,PARIS,WOMEN,"black, pastel, white, brown, ","ruffles, stripess",stilettos,"headgear, fur","mesh, chiffon, silk","classic, pop"
2011,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, pastel, white, yellow, blue, green","ruffles, abstract, floral","stilettos, pumps","bags, bows","chiffon, cotton, polyester, silk","pop, chique"
2011,SPRING,MENSWEAR,PARIS,MEN,"black, blue, brown, white",plain,"boots, loafers",none,"polyester, leather, tuxedo","pop, classic"
2011,RESORT,RESORT,RESORT,WOMEN,"black, white, brown","polka dots, checks",pumps,"bows, bags","polyester, silk, linen","classic, pop, chique"
2012,FALL,COUTURE,NEW YORK,WOMEN,"black, white, brown, red","tassels, plain",pumps,"fur, headgear","velvet, chiffon, silk, polyster","mobwife, rich"
2012,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, blue","stripess, plain","pumps, boots","fur, belts, bags","silk, polyester, silk","classic, rich"
2012,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, red, green, white","plain, abstract",loafers,jackets,"polyester, woollen","classic, formal"
2012,SPRING,COUTURE,PARIS,WOMEN,"green, blue, white, pastel","floral, plain","loafers, pumps",headgear,"mesh, organza, silk, ployster","classic, pop"
2012,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, pastel","floral, lacy","stilettos, pumps",bags,"cotton, linen, polyester, mesh","minimalistic, chique"
2012,SPRING,MENSWEAR,PARIS,MEN,"black, blue, orange, grey","checks, stripess",loafers,hats,"tuxedo, oyster, linen, denim","rich, pop"
2012,RESORT,RESORT,RESORT,WOMEN,"black, blue, green, red","floral, lacy",stilettos,none,"polyester, silk",rich
2013,FALL,COUTURE,NEW YORK,WOMEN,"brown, neon, white, black","plain, embroidery",pumps,headgear,"leather, woollen, polyster","rich, pop"
2013,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown","plain, checks, vertical stripess, houndstooth",boots,bags,"woollen, polyester",mob wife
2013,SPRING,COUTURE,PARIS,WOMEN,"black, white, red, brown","floral, stripess, abstract",pumps,none,"mesh, organza, silk",rich
2013,FALL,MENSWEAR,NEW YORK,MEN,"black, blue, brown","plain, houndstooth","loafers, sneakers",none,"tuxedo, woollen","rich, classic"
2013,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, yellow, red, blue","checks, abstract, floral",stilettos,"belts, bags","polyester, woollen","rich, classic"
2013,SPRING,MENSWEAR,PARIS,MEN,"black, brown, blue, white",plain,loafers,none,"polyester, tuxedo, cotton","rich, formal"
2013,RESORT,RESORT,RESORT,WOMEN,"white, brown","abstract, plain","flats, stilettos",none,"cotton, linen, polyester","chique, rich"
2014,FALL,COUTURE,NEW YORK,WOMEN,"black, white","plain, stripess, animal print","loafers, boots","gold, diamonds","woollen, cotton, silk, polyster",rich
2014,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, pink","houndstooth, animal print","boots, sneakers, wedges","fur,belts, bags","mesh, organza, silk, polyester",classic
2014,FALL,MENSWEAR,NEW YORK,MEN,"brown, black",plain,"loafers, leather shoes","scarf, bags","tuxedo, woollen, polyester","youth, classic"
2014,SPRING,COUTURE,PARIS,WOMEN,"white, blue, pink","polka dots, abstarct",stilettos,"scarf, headgear, diamonds","mesh, organza, silk",pop
2014,SPRING,READY-TO-WEAR,PARIS,WOMEN,"blue, black, red","houndstooth, stripess, abstract",boots,none,"polyester, mesh, silk","rich, pop"
2014,SPRING,MENSWEAR,PARIS,MEN,"black, blue, brown, grey","floral, houndstooth, stripess, plain","leather shoes, loafers","hats, bags","polyester, woollen, tuxedo","rich, pop"
2014,RESORT,RESORT,RESORT,WOMEN,"white, pastel",plain,"stilettos, flats",bags,"linen, polyester, silk","rich, classic"
2015,FALL,COUTURE,NEW YORK,WOMEN,"black, pink","tassels,plain",pumps,headgear,"mesh, silk, polyster",pop
2015,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, blue, green, red","abstract, plain","high knee boots, loafers","headgear, bags","silk, polyester","classic, pop"
2015,FALL,MENSWEAR,NEW YORK,MEN,"brown, grey, black","vertical stripess, houndstooth, plain","leather shoes, loafers","bags, belts","woollen, tuxedo, polyester","classic, pop"
2015,SPRING,PAULO SPRING 2015,Sﾃグ,WOMEN,"white, pastel","abstract, plain","wedges, stilettos","bows, bags","mesh, organza, cotton","chique, rich"
2015,SPRING,SPRING 2015,AUSTRALIA,WOMEN,"white, pastel","abstract, plain","wedges, stilettos, flats",bows,"mesh, organza, silk","chique, rich"
2015,FALL,FALL 2015,RUSSIA,WOMEN,"black, white, red, green",plain,"boots, stilettos",headgear,"mesh, woollen, polyester",mob wife
2015,FALL,FALL 2015,KIEV,WOMEN,"orange, red, white","stripess, plain, abstract","boots, sneakers",belts,"woollen, cotton, silk, polyester","rich, pop"
2015,FALL,FALL 2015,SEOUL,WOMEN,"black, white",plain,"ballets, flats","socks, belts","woollen, tuxedo, polyester",youth
2015,FALL,FALL 2015,TOKYO,WOMEN,"brown, black, grey","plain, houndstooth",boots,"belt, hat","woollen, polyester, tuxedo",youth
2015,FALL,FALL 2015,ISTANBUL,WOMEN,"pastels, black, orange","plain, stripess",boots,none,"mesh, silk, polyester","pop, youth"
2015,SPRING,COUTURE,PARIS,WOMEN,"black, orange, white","abstarct, plain","stilettos, boots",headgeear,"silk, mesh, polyster, cotton",pop
2015,FALL,FALL 2015,COPENHAGEN,WOMEN,"black, brown","stripess, plain, abstract",boots,fur,"woollen, polyester, tuxedo",mob wife
2015,FALL,FALL 2015,STOCKHOLM,WOMEN,"black, brown, white","plain, checks",boots,none,"woollen, polyester, tuxedo",mob wife
2015,FALL,FALL 2015,BERLIN,WOMEN,"white, black, green, yellow, blue","abstract, plain",boots,none,"woollen, polyester, tuxedo, silk",youth
2015,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, brown, red, blue","abstract, plain","boots, stilettos","bags, bows","mesh, silk, polyester","pop, youth"
2015,SPRING,MENSWEAR,PARIS,MEN,"black, blue, white","abstract, plain","loafers, leather boots","belts, bags","woollen, polyester, tuxedo","pop, youth"
2015,RESORT,RESORT,RESORT,WOMEN,"white, pink, black",abstract,"loafers, flats","belts, bags",polyester,"youth, pop"
2016,FALL,COUTURE,NEW YORK,WOMEN,"blue, black, red, orange","floral, lace, ruffels","pumps, boots, loafers","gold, silver, bronze","velvet, chiffon, silk, polyster","glam, rich"
2016,FALL,FALL 2016,TBILISI,WOMEN,"pastel, black, maroon",plain,"loafers, boots",chunky jewelry,"leather, silk, mesh, polyester","minimalistic, chique"
2016,FALL,FALL 2016,SEOUL,WOMEN,"black, blue","plain, flowers, stripess, checks",boots,jackets,"polyester, denim, woollen","youth, funk"
2016,FALL,FALL 2016,UKRAINE,WOMEN,"black, grey, red, orange, white","plain, abstract",boots,none,"polyester, woollen, tuxedo",pop
2016,FALL,FALL 2016,TOKYO,WOMEN,"black, blue, beige, white","plain, checks",sneakers,jackets,"denim, polyester",youth
2016,FALL,FALL 2016,RUSSIA,WOMEN,"black, blue, orange, red",abstract,"sneakers, wedges",bags,"polyester, woollen, silk","rich, mob wife"
2016,FALL,FALL 2016,KIEV,WOMEN,"blue, brown, white, grey",plain,"stilettos, boots",none,linen,"classic, chique"
2016,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, red, white, pink, blue","plain, stripess",pointed pumps,"bags, hats","organza, silk","chique, classic"
2016,FALL,FALL 2016,STOCKHOLM,WOMEN,"brown, black",plain,boots,jackets,"woollen, tuxedo",classic
2016,FALL,FALL 2016,COPENHAGEN,WOMEN,"black, brown, red, white","plain, stripess","boots, pumps",none,"silk, polyester, woollen","classic, rich"
2016,SPRING,COUTURE,PARIS,WOMEN,"black, white, pastels","plain, floral, abstract, ruffles",boots,"headgear, sunglasses, gold","mesh, organza, lace, cotton",chique
2016,FALL,FALL 2016,BERLIN,WOMEN,"black, white, orange","abstract, animal print",loafers,eyewear,"polyester, woollen","pop, rich"
2016,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, grey","stripess, plain","leather shoes, boots",scarf,"polyester, woollen, tuxedo","rich, classic, youth"
2016,SPRING,SPRING 2016,TBILISI,WOMEN,"black, blue","plain, tassels, flowy","stilettos, sneakers",none,"cotton, denim","classic, minimalistic"
2016,SPRING,SPRING 2016,RUSSIA,WOMEN,"black, orange, pink, white","floral, leaves, stripess, plain","stilettos, sneakers",headgear,"cotton, organza, linen",pop
2016,FALL,FALL 2016,Sﾃグ PAULO ,WOMEN,"black, brown, white",plain,boots,none,"leather, silk, polyester",youth
2016,SPRING,SPRING 2016,SEOUL,WOMEN,"black, blue, beige, white","stripess, plain","sneakers, flats",jackets,"linen, cotton, polyester",youth
2016,SPRING,SPRING 2016,TOKYO,WOMEN,"black, blue, white, pink","abstract, plain",sneakers,headgear,"linen, cotton, polyester","youth, pop"
2016,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, yellow, green, red","abstract, ruffles, floral",flats,bags,"organza, mesh, cotton, polyester",pop
