Year,Collection,Collection Type,Location,Gender,Colour,Patterns,Shoes,Accessories,Fabric,Theme
2016,SPRING,SPRING 2016,KIEV,WOMEN,"grey, white, pink, blue","abstract, plain, flowy","ballets, sneakers, stilettos",none,"cotton, linen",minimalistic
2016,SPRING,SPRING 2016,STOCKHOLM,WOMEN,"white, blue, pink",plain,"stilettos, flats",none,"cotton, linen, polyester",minimalistic
2016,RESORT,RESORT,RESORT,WOMEN,"black, white, orange, pink, red","abstract, stripess, floral",pumps,bags,"cotton, polyester",minimalistic
2016,SPRING,SPRING 2016,COPENHAGEN,WOMEN,"black, white, beige, grey","abstract, plain","loafers, sneakers","headgear, scarf","cotton, linen, polyester, mesh","pop, youth"
2016,SPRING,MENSWEAR,PARIS,MEN,"black, brown, beige, white, blue",abstract,"loafers, flats, sneakers","hats, scarf","polyester, cotton, linen","youth, funk"
2016,SPRING,SPRING 2016,BERLIN,WOMEN,"black, white, pink, beige, green","stripes, abstract",stilettos,none,"polyester, linen, cotton, mesh","youth, funk"
2017,FALL,COUTURE,NEW YORK,WOMEN,"black, white, pink, brown","hounsooth, plain","pumps, stilletos","headgear, diamond, gold","satin, mesh, woollen","classic, chique"
2017,FALL,FALL 2017,TBILISI,WOMEN,"black,red, white",plain,"pumps, sneakers","blazer, bows","leather, nets, linen, mesh",classy
2017,FALL,FALL 2017,SEOUL,WOMEN,"beige, brown, white, blue",plain,leather shoes,jackets,"stain, polyester, organza","youth, funk, y2k"
2017,FALL,FALL 2017,TOKYO,WOMEN,"black, blue, red, pink, yellow","stripess, abstract","boots, sneakers","jackets, belts, hats","velvet, polyester, satin",youth pop
2017,FALL,FALL 2017,RUSSIA,WOMEN,"black, white, pastel","plain, stripess",boots,headgear,"woollen, polyester","classic, minimalistic"
2017,FALL,FALL 2017,UKRAINE,WOMEN,"pink, yellow, brown, black","abstract, plain","loafers, sneakers",none,"polyester, silk, woollen","y2k, youth"
2017,FALL,FALL 2017,KIEV,WOMEN,"white, green, black, white, grey","checks, stripes, plain, abstract","pointed pumps, sneakers",none,"polyester, rayon, nylon, silk","funk, classic"
2017,FALL,FALL 2017,COPENHAGEN,WOMEN,"black, red, blue, brown","stripess, checks","boots, sneakers","headgear, belts, bags","polyester, woollen, nylon, silk","rich, funk"
2017,FALL,FALL 2017,STOCKHOLM,WOMEN,"brown, orange, pink, beige, white","stripess, checks, plain","pointed boots, pointed pumps",belts,"polyester, woollen, nylon, silk","pop, youth, funk"
2017,FALL,FALL 2017,BERLIN,WOMEN,"brown, orange, pink, beige, white, lavender","stripess, abstract, plain",boots,"belts, bags","rayon, polyester, nylon",funk
2017,SPRING,COUTURE,PARIS,WOMEN,"balck, white, pink","abstract, stripes, plain",pumps,bags,"mesh, lace, satin, lace",classic
2017,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"red, black, brown, beige, grey","checks, plain, sequin",boots,none,"rayon, nylon, velvet, polyester","classic, funk"
2017,SPRING,SPRING 2017,TBILISI,WOMEN,"black, red, brown, blue","stripess, plain",boots,none,"leather, polyester",classic
2017,RESORT,RESORT 2017,Sﾃグ PAULO ,WOMEN,"black, white","tassels, stripess, abstract","boots, flats",none,"polyester, nylon, sheer","classic, funk"
2017,SPRING,SPRING 2017,TOKYO,WOMEN,"black, white, beige, blue","plain, tassels",boots,none,"linen, polyester",youth
2017,SPRING,SPRING 2017,SEOUL,WOMEN,"beige, white, blue, pink",plain,"boots, sneakers","sunglasses, headgear","satin, polyester, rayon, nylon","youth, pop"
2017,SPRING,SPRING 2017,RUSSIA,WOMEN,"white, black, orange, green, pink, blue, yellow","floral, abstract, plain","flats, stilettos, sneakers",none,"mesh, polyester, nylon, cotton, denim","youth, pop, funk"
2017,SPRING,SPRING 2017,UKRAINE,WOMEN,"black, blue, orange, white","abstract, stripess, plain","loafers, flats, sneakers",none,"silk, polyester, linen","minimalistic, classic"
2017,SPRING,SPRING 2017,KIEV,WOMEN,"black, white, grey, blue","checks, stripess, plain","flats, sneakers",masks,"linen, cotton",minimalistic
2017,SPRING,SPRING 2017,STOCKHOLM,WOMEN,"black, white, grey",plain,"pointed loafers, pointed boots",none,"silk, polyester, tuxedo","silhouette, feminine"
2017,SPRING,SPRING 2017,COPENHAGEN,WOMEN,"pastel, black, white",plain,"stilettos, pointed flats",none,"cottin, polyester",feminine
2017,SPRING,SPRING 2017,BERLIN,WOMEN,"black, grey",plain,"square oxfords, boots",none,"silk, tuxedo", academia
2017,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, brown, lavender, white, yellow, grey",plain,"pointed loafers, boots","shrugs, jackets","linen, polyester, silk","powerful, classic"
2017,SPRING,MENSWEAR,PARIS,MEN,"black, white",plain,"slip ons, shoes","vests, jackets","cotton, polyester, silk",youth
2017,RESORT,RESORT 2017,AUSTRALIA,WOMEN,"black, yellow, white, orange, brown, red, blue",plain,loafers,none,"silk, sheer, flowy",clean girl
2017,RESORT,RESORT,RESORT,WOMEN,"black, brown, grey, rusty","plain, herringbone","pointed pumps, round flats, boots","gold, scarf","woollen, polyester, fleece",mob wife
2017,SPRING,PAOLO SPRING 2017,Sﾃグ,WOMEN,"black, white, grey, pastel, brown, beige","plain, leaves","stilettos, flats",glitter,"chiffon, polyester, cotton","basic, y2k"
2017,FALL,MENSWEAR,NEW YORK,MEN,"pastel, black, maroon",plain,"canvas, leather shoes, loafers",jackets,"linen, polyester","subtle, basic"
2018,SPRING,COUTURE,PARIS,WOMEN,"black, white, yellow, orange, blue","plain, abstract",boots,headgear,"mesh, silk, organza","pop, rich"
2018,FALL,FALL 2018,TBILISI,WOMEN,"black, brown",plain,"boots, stilletos",belts,"leather, polyster",classic
2018,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, pastels,yellow, green","floral, checks, stripes","sneakers, pumps",bags,"linen, polyester, satin","subtle, rich, "
2018,FALL,FALL 2018,TOKYO,WOMEN,"white, beige, black, grey",plain,pointed pumps,scarf,"woollen, polyester, tuxedo","classy, minimalistic"
2018,FALL,FALL 2018,SEOUL,WOMEN,"white, beige, black, grey",plain,boots,"bags, hats","woollenen, polyester, tuxedo, satin","classy, minimalistic"
2018,SPRING,MENSWEAR,PARIS,MEN,"black, white, grey, brown, beige, pastels","leaves, floral, plain, checks","sneakers, flats",bags,"linen, tuxedo, polyester","rich, classic"
2018,RESORT,RESORT,RESORT,WOMEN,"brown, black, green, yellow, red, beige, pink","checks, floral, lace","boots, oxfords",none,"polyster, mesh, woollen","rich, classic"
2018,FALL,FALL 2018,STOCKHOLM,WOMEN,"white, black, orange, blue, green","floral, checks, stripes",pointed boots,"scarf, hat","chiffon, polyester, woollen, satin","classic, rich"
2018,FALL,FALL 2018,COPENHAGEN,WOMEN,"brown, white, red, pink, blue, beige","plain, checks","boots, sneakers","jacket, scarf","leather, woollen, polyester","classic, youth"
2018,SPRING,SPRING 2018,TBILISI,WOMEN,"white, red, blue, black",plain,pointed boots,jacket,"leather, fleece, polyster",glam
2018,SPRING,SPRING 2018,RUSSIA,WOMEN,"white, red, orange","animal print, floral, polka dots","oxfords, pointed pumps",hats,"organza, polyester, ployster","glam, pop"
2018,SPRING,SPRING 2018,TOKYO,WOMEN,"green, red, yellow, black, blue",plain,"boots, oxfords",hats,polyester,"youth, classic"
2018,SPRING,SPRING 2018,SEOUL,WOMEN,"pink, red, yellow, blue, rusty, brown, orange, black","abstract, checks",stilettos,none,"ploster, woollen, satin","glam, rich"
2018,SPRING,SPRING 2018,KIEV,WOMEN,"white, brown, ","abstract, plain",stilettos,none,"satin, silk, flowy, polyester","glam, pop"
2018,SPRING,SPRING 2018,STOCKHOLM,WOMEN,"black, brown, white, beige, purple","plain, checks","boots, oxfords",scarf,"tweed, polyester, silk","classic,  academia"
2018,SPRING,SPRING 2018,COPENHAGEN,WOMEN,"black, white, brown , grey","plain, stripess","boots, pumps",coats,"woollen, chiffon , polyester",classic
2018,SPRING,SPRING 2018,BERLIN,WOMEN,"white, beige, black, yellow, green","vertical stripess, plain",loafers,"bags, hats","linen, polyester","classic,  academia"
2018,RESORT,RESORT 2018,AUSTRALIA,WOMEN,"white, black, pastel","plain, abstract","ballets, stilettos",bags,"flowy, polyester, cotton, chiffon",pop
2018,FALL,COUTURE,NEW YORK,WOMEN,"black, yellow, orange, grey","plain, abstrasct","boots, pumps",none,"woollen, satin, polyster, silk","rich, pop"
2018,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, beige, blue, green",checks,high knee boots,"hats, fur, belts","polyester, woollen, silk","glam, rich"
2018,FALL,MENSWEAR,NEW YORK,MEN,"black, blue, brown","plain, vertical stripess, checks",loafers,fur,"woollen, tuxedo, polyester","glam, rich"
2018,Fall,Fall 2018,Kiev,WOMEN,"white, beige, blue","vertical stripess, plain",loafers,blazers,"polyester, silk, cotton","rich, youth"
2019,FALL,FALL 2019,TOKYO,WOMEN,"white, blue, pink, beige","ruffles, floral",stilettos,chunky jewelry,"chiffon, silk, polyester","chique, rich"
2019,SPRING,COUTURE,PARIS,WOMEN,"black, blue, white, yelow, orange, green","ruffles, abstract","pumps, boots",headgear,"chiffon, silk, polyster, mesh",pop
2019,FALL,FALL 2019,STOCKHOLM,WOMEN,"black, blue, white",floral,stilettos,"hats, beads","polyester, silk",basic
2019,FALL,FALL 2019,MADRID,WOMEN,"black, grey, beige","vertical stripess, checks, plain","loafers, oxfords",belts,"polyester, cotton, linen","pop, rich"
2019,FALL,FALL 2019,COPENHAGEN,WOMEN,"black, grey, beige, brown",plain,boots,hats,"tweed, polyester, woollen","medieval, ruch"
2019,SPRING,READY-TO-WEAR,PARIS,WOMEN,"green, red, black, grey, blue, orange","houndstooth, plain",boots,"headgear, gloves, bags","leather, tweed, woollen","mob wife, rich"
2019,RESORT,RESORT,RESORT,WOMEN,"white, black, red, orange",ruffles,stilettos,"headgear, bags","polyester, flowy, organza",pop rich
2019,SPRING,MENSWEAR,PARIS,MEN,"black, white, blue, orange",plain,"loafers, canvas","bags, sunglasses","silk, polyester","activewear, youth"
2019,SPRING,SPRING 2019,TBILISI,WOMEN,"black, white, blue, red, pink","ruffles, floral, tassels",pumps,"hats,","silk, mesh, polyester, cotton","glam, pop"
2019,SPRING,SPRING 2019,TOKYO,WOMEN,"black, white, orange, blue","floral, plain","flats, stilettos","bags, hats","woollen, cotton, silk, polyester","basic, pop"
2019,SPRING,SPRING 2019,KIEV,WOMEN,grey,"puffer, checks",pointed oxfords,vests,"tweed, woollen, polyester",classic
2019,SPRING,SPRING 2019,STOCKHOLM,WOMEN,"grey, white, black, blue","ruffles, lace",pointed pumps,chunky jewelry,"silk, polyester, organza, chiffon","pop, basic"
2019,SPRING,SPRING 2019,COPENHAGEN,WOMEN,"black, grey",plain,boots,none,"tweed, polyester, woollen","grunge,  academia"
2019,RESORT,RESORT 2019,AUSTRALIA,WOMEN,"black, grey, beige","plain, houndstooth",boots,gold,"silk, tweed, woollen","rich, chique"
2019,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"grey, white",plain,loafers,none,"silk, polyester","basic, minimalistic"
2019,FALL,COUTURE,NEW YORK,WOMEN,"black, white, yellow, purple","palin, ruffles, abstarct","stilletos, pumps, boots",headgear,"silk, woollen, mesh, fur","funk, pop, rich"
2019,FALL,MENSWEAR,NEW YORK,MEN,"grey, white, orange, yellow","abstract, lace",stilettos,chunky jewelry,"silk, organza, polyester","pop, minimalistic"
2020,FALL,FALL 2020,TOKYO,WOMEN,"white, black, brown, beige","checks, plain",stilettos,"bags, straps","polyester, cotton, denim","basic, grunge"
2020,SPRING,COUTURE,PARIS,WOMEN,"black, white, pink, blue","hounsooth, plain, abstract","boots, stilletos",headgear,"mesh, cotton, silk, polyster",
2020,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, brown, green, white","vertical stripess, checks, plain","wedges, flats",chunky jewelry,"polyester, silk","funk, pop"
2020,SPRING,SPRING 2020,TOKYO,WOMEN,"black, white, blue, yellow","stripess, abstract","stilettos, pumps","bags, gold","silk, polyester, mesh","y2k, pop"
2020,RESORT,RESORT,RESORT,WOMEN,"grey, blue",houndstooth,boots,belts,"tweed, woollen","classic, rich"
2020,SPRING,MENSWEAR,PARIS,MEN,"maroon, green, grey, black","embroidery, checks",pointed boots,"scarf best, jacket","fur, woollen, polyester, tweed","flashy, glam"
2020,FALL,FALL 2020,MADRID,WOMEN,"yellow, brown, black, white","plain, abstract, stripess","loafers, stilettos","bags, belts","cotton, polyester","basic, soft"
2020,SPRING,SPRING 2020,MADRID,WOMEN,"black, white, brown, red","checks, plain, abstract",boots,"bags, fur","leather, polyester",pop
2020,SPRING,SPRING 2020,COPENHAGEN,WOMEN,"black, brown, red","checks, abstract","boots, sneaker",none,"leather, polyester","funk, classic"
2020,RESORT,RESORT 2020,AUSTRALIA,WOMEN,"black, pastel, white, yellow, blue, green","ruffles, abstract, floral","stilettos, pumps","bags, bows","chiffon, cotton, polyester, silk","pop, chique"
2020,FALL,COUTURE,NEW YORK,WOMEN,"black, white, blue, red","plain, ruffles","pumps, stilletos","headgear, sunglasses","silk, polyster, satin","classic, pop"
2020,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, blue, brown, white",plain,"boots, loafers",none,"polyester, leather, tuxedo","pop, classic"
2020,FALL,MENSWEAR,NEW YORK,MEN,"black, white, brown","polka dots, checks",pumps,"bows, bags","polyester, silk, linen","classic, pop, chique"
2021,FALL,CITY FALL 2021,MEXICO,WOMEN,"black, white, blue","stripess, plain","pumps, boots","fur, belts, bags","silk, polyester, silk","classic, rich"
2021,FALL,FALL 2021,ISTANBUL,WOMEN,"black, brown, red, green, white","plain, abstract",loafers,jackets,"polyester, woollen","classic, formal"
2021,FALL,FALL 2021,MADRID,WOMEN,"white, pastel","floral, lacy","stilettos, pumps",bags,"cotton, linen, polyester, mesh","minimalistic, chique"
2021,FALL,FALL 2021,TOKYO,WOMEN,"black, blue, orange, grey","checks, stripess",loafers,hats,"tuxedo, oyster, linen, denim","rich, pop"
2021,FALL,FALL 2021,STOCKHOLM,WOMEN,"black, blue, green, red","floral, lacy",stilettos,none,"polyester, silk",rich
2021,FALL,FALL 2021,COPENHAGEN,WOMEN,"black, white, brown","plain, checks, vertical stripess, houndstooth",boots,bags,"woollen, polyester",mob wife
2021,SPRING,COUTURE,PARIS,WOMEN,"bkack, white, red","plain, ruffles",stilletos,headgear,"satin, mesh, silk","pop, rich"
2021,FALL,FALL 2021,BERLIN,WOMEN,"black, blue, brown","plain, houndstooth","loafers, sneakers",none,"tuxedo, woollen","rich, classic"
2021,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, yellow, red, blue","checks, abstract, floral",stilettos,"belts, bags","polyester, woollen","rich, classic"
2021,SPRING,MENSWEAR,PARIS,MEN,"black, brown, blue, white",plain,loafers,none,"polyester, tuxedo, cotton","rich, formal"
2021,SPRING,SPRING 2021,ISTANBUL,WOMEN,"white, brown","abstract, plain","flats, stilettos",none,"cotton, linen, polyester","chique, rich"
2021,SPRING,SPRING 2021,TOKYO,WOMEN,"black, pink","houndstooth, animal print","boots, sneakers, wedges","fur,belts, bags","mesh, organza, silk, polyester",classic
2021,SPRING,SPRING 2021,STOCKHOLM,WOMEN,"brown, black",plain,"loafers, leather shoes","scarf, bags","tuxedo, woollen, polyester","youth, classic"
2021,SPRING,SPRING 2021,COPENHAGEN,WOMEN,"blue, black, red","houndstooth, stripess, abstract",boots,none,"polyester, mesh, silk","rich, pop"
2021,RESORT,RESORT,RESORT,WOMEN,"black, blue, brown, grey","floral, houndstooth, stripess, plain","leather shoes, loafers","hats, bags","polyester, woollen, tuxedo","rich, pop"
2021,RESORT,MENSWEAR,RESORT,MEN,"white, pastel",plain,"stilettos, flats",bags,"linen, polyester, silk","rich, classic"
2021,FALL,COUTURE,NEW YORK,WOMEN,"black, white, red, pink, grey","plain, stripes, hounsooth",boots,headgear,"woollen, silt, mesh","rich, classic"
2021,FALL,MENSWEAR,NEW YORK,MEN,"black, blue, green, red","abstract, plain","high knee boots, loafers","headgear, bags","silk, polyester","classic, pop"
2021,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"brown, grey, black","vertical stripess, houndstooth, plain","leather shoes, loafers","bags, belts","woollen, tuxedo, polyester","classic, pop"
2022,FALL,FALL 2022,SHANGHAI,WOMEN,"white, pastel","abstract, plain","wedges, stilettos","bows, bags","mesh, organza, cotton","chique, rich"
2022,FALL,CITY FALL 2022,MEXICO,WOMEN,"white, pastel","abstract, plain","wedges, stilettos, flats",bows,"mesh, organza, silk","chique, rich"
2022,FALL,FALL 2022,BERLIN,WOMEN,"black, white, red, green",plain,"boots, stilettos",headgear,"mesh, woollen, polyester",mob wife
2022,FALL,FALL 2022,MADRID,WOMEN,"orange, red, white","stripess, plain, abstract","boots, sneakers",belts,"woollen, cotton, silk, polyester","rich, pop"
2022,FALL,FALL 2022,TOKYO,WOMEN,"black, white",plain,"ballets, flats","socks, belts","woollen, tuxedo, polyester",youth
2022,FALL,FALL 2022,STOCKHOLM,WOMEN,"brown, black, grey","plain, houndstooth",boots,"belt, hat","woollen, polyester, tuxedo",youth
2022,FALL,FALL 2022,COPENHAGEN,WOMEN,"pastels, black, orange","plain, stripess",boots,none,"mesh, silk, polyester","pop, youth"
2022,SPRING,COUTURE,PARIS,WOMEN,"black, white, grey","floral, stripes",boots,hats,"woollen, silk, polyster","rich, classic"
2022,RESORT,CITY RESORT 2022,MEXICO,WOMEN,"black, brown","stripess, plain, abstract",boots,fur,"woollen, polyester, tuxedo",mob wife
2022,SPRING,CITY SPRING 2022,MEXICO,WOMEN,"black, brown, white","plain, checks",boots,none,"woollen, polyester, tuxedo",mob wife
2022,SPRING,SPRING 2022,SHANGHAI,WOMEN,"white, black, green, yellow, blue","abstract, plain",boots,none,"woollen, polyester, tuxedo, silk",youth
2022,SPRING,SPRING 2022,MADRID,WOMEN,"black, white, brown, red, blue","abstract, plain","boots, stilettos","bags, bows","mesh, silk, polyester","pop, youth"
2022,SPRING,SPRING 2022,BERLIN,WOMEN,"black, blue, white","abstract, plain","loafers, leather boots","belts, bags","woollen, polyester, tuxedo","pop, youth"
2022,SPRING,SPRING 2022,STOCKHOLM,WOMEN,"white, pink, black",abstract,"loafers, flats","belts, bags",polyester,"youth, pop"
2022,SPRING,SPRING 2022,TOKYO,WOMEN,"pastel, black, maroon",plain,"loafers, boots",chunky jewelry,"leather, silk, mesh, polyester","minimalistic, chique"
2022,SPRING,SPRING 2022,COPENHAGEN,WOMEN,"black, blue","plain, flowers, stripess, checks",boots,jackets,"polyester, denim, woollen","youth, funk"
2022,RESORT,RESORT 2022,AUSTRALIA,WOMEN,"black, grey, red, orange, white","plain, abstract",boots,none,"polyester, woollen, tuxedo",pop
2022,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, beige, white","plain, checks",sneakers,jackets,"denim, polyester",youth
2022,SPRING,MENSWEAR,PARIS,MEN,"black, blue, orange, red",abstract,"sneakers, wedges",bags,"polyester, woollen, silk","rich, mob wife"
2022,RESORT,RESORT,RESORT,WOMEN,"blue, brown, white, grey",plain,"stilettos, boots",none,linen,"classic, chique"
2022,RESORT,MENSWEAR,RESORT,MEN,"black, brown, red, white, pink, blue","plain, stripess",pointed pumps,"bags, hats","organza, silk","chique, classic"
2022,FALL,COUTURE,NEW YORK,WOMEN,"black, white, red, green",plain,pointed pumps,"bags, hats","woollen, silk, polyster",chique
2022,FALL,MENSWEAR,NEW YORK,MEN,"brown, black",plain,boots,jackets,"woollen, tuxedo",classic
2022,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, red, white","plain, stripess","boots, pumps",none,"silk, polyester, woollen","classic, rich"
2023,FALL,FALL 2023,MEXICO,WOMEN,"black, white, orange","abstract, animal print",loafers,eyewear,"polyester, woollen","pop, rich"
2023,FALL,FALL 2023,MADRID,WOMEN,"black, brown, grey","stripess, plain","leather shoes, boots",scarf,"polyester, woollen, tuxedo","rich, classic, youth"
2023,FALL,FALL 2023,SHANGHAI,WOMEN,"black, blue","plain, tassels, flowy","stilettos, sneakers",none,"cotton, denim","classic, minimalistic"
2023,FALL,FALL 2023,TOKYO,WOMEN,"black, orange, pink, white","floral, leaves, stripess, plain","stilettos, sneakers",headgear,"cotton, organza, linen",pop
2023,RESORT,RESORT,RESORT,WOMEN,"black, brown, white",plain,boots,none,"leather, silk, polyester",youth
2023,FALL,FALL 2023,COPENHAGEN,WOMEN,"black, blue, beige, white","stripess, plain","sneakers, flats",jackets,"linen, cotton, polyester",youth
2023,FALL,FALL 2023,BERLIN,WOMEN,"black, blue, white, pink","abstract, plain",sneakers,headgear,"linen, cotton, polyester","youth, pop"
2023,SPRING,SPRING 2023,SHANGHAI,WOMEN,"black, blue, yellow, green, red","abstract, ruffles, floral",flats,bags,"organza, mesh, cotton, polyester",pop
2023,SPRING,COUTURE,PARIS,WOMEN,"black, white, pastels","palin, ruffles","pumps, stilletos",headgear,"organza, mesh, polyster","rich, classic, youth"
2023,SPRING,SPRING 2023,MADRID,WOMEN,"grey, white, pink, blue","abstract, plain, flowy","ballets, sneakers, stilettos",none,"cotton, linen",minimalistic
2023,SPRING,SPRING 2023,BERLIN,WOMEN,"white, blue, pink",plain,"stilettos, flats",none,"cotton, linen, polyester",minimalistic
2023,SPRING,SPRING 2023,STOCKHOLM,WOMEN,"black, white, orange, pink, red","abstract, stripess, floral",pumps,bags,"cotton, polyester",minimalistic
2023,SPRING,SPRING 2023,TOKYO,WOMEN,"black, white, beige, grey","abstract, plain","loafers, sneakers","headgear, scarf","cotton, linen, polyester, mesh","pop, youth"
2023,SPRING,SPRING 2023,MEXICO,WOMEN,"black, grey, red, beige","crunched waist, vertical stripess","pumps, high knee boots, pointed heels",stalkings,"fur, satin","tomboy, powerful"
2023,SPRING,SPRING 2023,COPENHAGEN,WOMEN,"black, yellow, white",plain,pointed boots,gloves,"woollen, velvet","modest, workforce"
2023,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, grey, lavender, blue","vertical stripess, checks, abstract",ballet flats,blazer,"leather, nets, linen","sexy, boardroom"
2023,RESORT,MENSWEAR,RESORT,MEN,"green, white","abstract, vertical stripess","ballet flats, loafers","shrugs, jackets, beads, big belts","mesh, satin","feminine, splashy"
2023,SPRING,MENSWEAR,PARIS,MEN,"blue, pink, white, beige, black, neons","vertical stripess, animal print, checks, vertical button line, butterfly","pumps, boots","chunky gold jewelry, buttons, gloves, jackets","sheer, mesh, fleece","hip-hop, sexy"
2023,RESORT,RESORT 2023,AUSTRALIA,WOMEN,"neons, yellow, pink, orange, black, white","polka dots, stripess, checks","stilettos, flats",headgear,"khaki, cotton, flowy, sheer, mesh",pop
2023,RESORT,RESORT,RESORT,WOMEN,"black, blue, red",straps,boots,gloves,"leather, velvet, sheer","sophisticated, strong"
2023,FALL,COUTURE,NEW YORK,WOMEN,"black, white, beige",plain,"boots, pumps",none,"woollen, cotton, tuxedo","classic, chique"
2023,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"red, yellow, white, black","strapless, animal print, vertical stripess","pumps, stilettos, flats","headgear, chunky gold jewelry","nylon, rayon, carbon","low-cut, provocative"
2023,FALL,MENSWEAR,NEW YORK,MEN,"black, white, brown, pastel","stripess, stripess, pleated, fishnets","loafers, boots, ballets"," headgear, beret, gold jewellery, huge hats","fleece, mesh, woollen","grunge, flashy"
2024,FALL,FALL 2024,BERLIN,WOMEN,"red, yellow, white, black, pastel","stripess, leaves, checks, abstract","sports shoes, ballets","big chokers, beads, corsets, tassels","mesh, flannel","thrift, sportswear, cool, feminine"
2024,FALL,FALL 2024,TOKYO,WOMEN,"black, white, red, brown","vertical stripess, abstract, ruffles","barefoot, shoes, chunky heels",none,"denim,cotton, flowy, mesh","pop, summer"
2024,FALL,FALL 2024,COPENHAGEN,WOMEN,"black, white, red, yellow","loosely fit, checks","square toe boots, loafers","fur, gold, bows, buttons",fur,chique
2024,SPRING,COUTURE,PARIS,WOMEN,"black, white, beige","plain, ruffles","pumps, stilettos, flats",daimond,"wollen, satin, mesh",chique
2024,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, grey","plain, checks",pumps,hats,"georget, linens, velvet","simple, funk"
2024,FALL,MENSWEAR,NEW YORK,MEN,"pink, white, black","vertical stripess, checks, polka dots",stilettos,"bags, brooch, belts, diamonds, gold","synthetic, satin, rayon","classy, chique"
2024,SPRING,SPRING 2024,LAGOS,WOMEN,"black, brown, lavender, maroon, purple, red",plain,"square toe heels, loafers",none,"tweed, velvet","mob wife, professional"
2024,SPRING,SPRING 2024,SPAIN,WOMEN,"pastel, brown, white, black, yellow","checks, vertical stripess, plain",ballets,"sunglasses, headgear","sheer, polyester","simple, professional"
2024,SPRING,SPRING 2024,MEXICO,WOMEN,black,plain,pointed boots,"gloves, headbands","woollen, leather",classic
2024,SPRING,SPRING 2024,SHANGHAI,WOMEN,"black, brown, blue, maroon, red, yellow","animal print, floral, fishnets","stilettos, flats",small handbags,"mesh, velvet, silk, linen","bossy, mob wife"
2024,SPRING,SPRING 2024,TOKYO,WOMEN,"black, white, beige","plain, fishnet",square toe oxfords,none,"mesh, linen, polyester","classic, minimalistic"
2024,SPRING,SPRING 2024,BERLIN,WOMEN,"black, white, grey",plain,"pointed loafers, pointed boots",none,"silk, polyester, tuxedo","silhouette, feminine"
2024,SPRING,READY-TO-WEAR,PARIS,WOMEN,"pastel, black, white",plain,"stilettos, pointed flats",none,"cottin, polyester",feminine
2024,RESORT,MENSWEAR,RESORT,MEN,"black, grey",plain,"square oxfords, boots",none,"silk, tuxedo", academia
2024,SPRING,MENSWEAR,PARIS,MEN,"black, brown, lavender, white, yellow, grey",plain,"pointed loafers, boots","shrugs, jackets","linen, polyester, silk","powerful, classic"
2024,RESORT,RESORT 2024,AUSTRALIA,WOMEN,"black, white",plain,"slip ons, shoes","vests, jackets","cotton, polyester, silk",youth